bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
256,2025-12-03 12:55:00+00:00,BTCUSDT,5m,92937.39,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,136.27857142857206,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
257,2025-12-03 13:00:00+00:00,BTCUSDT,5m,93065.07,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,144.44500000000076,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
258,2025-12-03 13:05:00+00:00,BTCUSDT,5m,92980.29,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,152.4214285714292,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
259,2025-12-03 13:10:00+00:00,BTCUSDT,5m,92937.84,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,146.02785714285815,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
260,2025-12-03 13:15:00+00:00,BTCUSDT,5m,93079.98,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.7283459982983708,144.86500000000004,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
261,2025-12-03 13:20:00+00:00,BTCUSDT,5m,93032.6,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,142.29857142857094,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
262,2025-12-03 13:25:00+00:00,BTCUSDT,5m,93015.53,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,143.91285714285706,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
263,2025-12-03 13:30:00+00:00,BTCUSDT,5m,93093.03,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,141.53499999999934,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
264,2025-12-03 13:35:00+00:00,BTCUSDT,5m,93079.58,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.6994582718056183,141.45000000000022,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
265,2025-12-03 13:40:00+00:00,BTCUSDT,5m,93209.38,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.5894701360742148,140.47857142857225,1000.0538414972726,1000.2797628979012,0.03257781409898414,0.05384149727262866
266,2025-12-03 13:45:00+00:00,BTCUSDT,5m,93212.7,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.7747056507080802,141.0550000000003,1000.0538414972726,1000.2797628979012,0.03257781409898414,0.05384149727262866
267,2025-12-03 13:50:00+00:00,BTCUSDT,5m,93158.17,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.8401591702386849,143.32142857142858,1000.0538414972726,1000.2797628979012,0.03257781409898414,0.05384149727262866
268,2025-12-03 13:55:00+00:00,BTCUSDT,5m,93130.88,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.6033230996666651,136.83999999999858,1000.0538414972726,1000.2797628979012,0.03257781409898414,0.05384149727262866
269,2025-12-03 14:00:00+00:00,BTCUSDT,5m,91754.55,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,233.07428571428423,999.2734318432227,1000.2797628979012,0.10060495993270722,-0.7265681567772617
270,2025-12-03 14:05:00+00:00,BTCUSDT,5m,92060.39,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.85995936951405,263.34999999999854,999.2734318432227,1000.2797628979012,0.10060495993270722,-0.7265681567772617
271,2025-12-03 14:10:00+00:00,BTCUSDT,5m,92030.58,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,283.3571428571408,999.2734318432227,1000.2797628979012,0.10060495993270722,-0.7265681567772617
272,2025-12-03 14:15:00+00:00,BTCUSDT,5m,92345.16,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,311.83214285714035,999.2734318432227,1000.2797628979012,0.10060495993270722,-0.7265681567772617
273,2025-12-03 14:20:00+00:00,BTCUSDT,5m,92298.54,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,short,0.771323890372826,318.27642857142615,999.2734318432227,1000.2797628979012,0.10060495993270722,-0.7265681567772617
274,2025-12-03 14:25:00+00:00,BTCUSDT,5m,92540.06,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,320.65499999999884,999.3590417666543,1000.2797628979012,0.10060495993270722,-0.6409582333457138
275,2025-12-03 14:30:00+00:00,BTCUSDT,5m,92188.66,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.5718813935098109,343.2271428571424,999.3590417666543,1000.2797628979012,0.10060495993270722,-0.6409582333457138
276,2025-12-03 14:35:00+00:00,BTCUSDT,5m,92621.35,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,386.5699999999997,999.3590417666543,1000.2797628979012,0.10060495993270722,-0.6409582333457138
277,2025-12-03 14:40:00+00:00,BTCUSDT,5m,93502.76,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,1.0,452.67000000000036,999.8791948765615,1000.2797628979012,0.10060495993270722,-0.1208051234384584
278,2025-12-03 14:45:00+00:00,BTCUSDT,5m,92963.71,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,497.01642857142826,999.8791948765615,1000.2797628979012,0.10060495993270722,-0.1208051234384584
279,2025-12-03 14:50:00+00:00,BTCUSDT,5m,92686.36,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,529.5107142857129,999.0933785006599,1000.2797628979012,0.11860525837333386,-0.9066214993400763
280,2025-12-03 14:55:00+00:00,BTCUSDT,5m,92357.54,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,547.8592857142846,999.0933785006599,1000.2797628979012,0.11860525837333386,-0.9066214993400763
281,2025-12-03 15:00:00+00:00,BTCUSDT,5m,92920.04,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,0.7418163380389031,582.3192857142848,999.0933785006599,1000.2797628979012,0.11860525837333386,-0.9066214993400763
282,2025-12-03 15:05:00+00:00,BTCUSDT,5m,92552.43,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,606.6171428571428,999.0933785006599,1000.2797628979012,0.11860525837333386,-0.9066214993400763
283,2025-12-03 15:10:00+00:00,BTCUSDT,5m,92246.84,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,550.4535714285719,999.0933785006599,1000.2797628979012,0.11860525837333386,-0.9066214993400763
284,2025-12-03 15:15:00+00:00,BTCUSDT,5m,92186.23,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,535.211428571429,999.0933785006599,1000.2797628979012,0.11860525837333386,-0.9066214993400763
