bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,whale_on,whale_alignment,whale_thr,model_confidence_factor,atr,equity,peak_equity,max_drawdown_pct,pnl_total
244,244,BTCUSDT,5m,93005.68,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,136.18571428571158,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
245,245,BTCUSDT,5m,93056.81,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,142.53642857142611,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
246,246,BTCUSDT,5m,92908.83,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,148.87357142856905,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
247,247,BTCUSDT,5m,92882.92,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,149.19142857142702,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
248,248,BTCUSDT,5m,92834.47,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,146.82285714285536,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
249,249,BTCUSDT,5m,92836.76,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,146.08857142856868,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
250,250,BTCUSDT,5m,92730.7,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,139.19857142856821,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
251,251,BTCUSDT,5m,92780.12,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,135.5035714285685,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
252,252,BTCUSDT,5m,92855.91,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,138.55571428571213,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
253,253,BTCUSDT,5m,92863.34,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,137.07999999999862,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
254,254,BTCUSDT,5m,92979.99,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,144.153571428571,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
255,255,BTCUSDT,5m,92921.87,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,140.769285714286,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
256,256,BTCUSDT,5m,92937.39,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,136.27857142857206,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
257,257,BTCUSDT,5m,93065.07,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,144.44500000000076,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
258,258,BTCUSDT,5m,92980.29,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,152.4214285714292,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
259,259,BTCUSDT,5m,92937.84,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,146.02785714285815,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
260,260,BTCUSDT,5m,93079.98,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.7283459982983708,True,aligned,0.5,1.0,144.86500000000004,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
261,261,BTCUSDT,5m,93032.6,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,142.29857142857094,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
262,262,BTCUSDT,5m,93015.53,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,143.91285714285706,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
263,263,BTCUSDT,5m,93093.03,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,none,0.0,False,no_whale,0.5,1.0,141.53499999999934,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
264,264,BTCUSDT,5m,93079.58,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.6994582718056183,True,aligned,0.5,1.0,141.45000000000022,999.9538936162745,1000.2797628979012,0.03257781409898414,-0.04610638372548692
265,265,BTCUSDT,5m,93209.38,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.5894701360742148,True,aligned,0.5,1.0,140.47857142857225,1000.114411616673,1000.2797628979012,0.03257781409898414,0.11441161667301003
266,266,BTCUSDT,5m,93212.7,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,long,0.7747056507080802,True,aligned,0.5,1.0,141.0550000000003,1000.114411616673,1000.2797628979012,0.03257781409898414,0.11441161667301003
267,267,BTCUSDT,5m,93158.17,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.8401591702386849,True,aligned,0.5,1.0,143.32142857142858,1000.114411616673,1000.2797628979012,0.03257781409898414,0.11441161667301003
268,268,BTCUSDT,5m,93130.88,long,0.9435428739621232,0.7267306089401245,1.0,0.7267306089401245,1.0,1.0,long,0.6033230996666651,True,aligned,0.5,1.0,136.83999999999858,1000.114411616673,1000.2797628979012,0.03257781409898414,0.11441161667301003
269,269,BTCUSDT,5m,91754.55,long,0.9435428678049995,0.7267305791378021,1.0,0.7267305791378021,1.0,1.0,short,1.0,True,opposed,0.5,0.3,233.07428571428423,999.3340019626231,1000.2797628979012,0.0945496420459488,-0.6659980373768803
