score_sum_pnl_scaled,k,x0,fmin,fmax
0.5487236009246642,4.0,0.7,0.4,1.2
0.43243095880755844,6.0,0.7,0.3,1.2
0.38099446713290597,10.0,0.7,0.2,1.2
0.3460981985135378,4.0,0.6,0.2,1.2
0.2932674427816665,2.0,0.7,0.4,1.2
0.2786902231177514,8.0,0.7,0.2,1.2
0.22117403479795558,2.0,0.6,0.3,1.2
0.21415657484305894,2.0,0.5,0.2,1.2
0.1740501552732173,4.0,0.7,0.3,1.2
0.08984823935524021,6.0,0.7,0.2,1.2
-0.09901893871700429,2.0,0.7,0.3,1.2
-0.13556854043008415,2.0,0.6,0.2,1.2
-0.1874713727597945,4.0,0.7,0.2,1.2
-0.5192204680192523,2.0,0.7,0.2,1.2
