bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
309,309,BTCUSDT,5m,92506.94,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,261.9942857142866,1000.0,1000.0,0.0,0.0
310,310,BTCUSDT,5m,92506.45,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,247.2378571428583,1000.0,1000.0,0.0,0.0
311,311,BTCUSDT,5m,92605.87,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,242.94500000000076,1000.0,1000.0,0.0,0.0
312,312,BTCUSDT,5m,92799.99,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,256.51142857142986,1000.0,1000.0,0.0,0.0
313,313,BTCUSDT,5m,92755.43,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,246.5607142857147,1000.0,1000.0,0.0,0.0
314,314,BTCUSDT,5m,92953.72,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,1.0,251.5157142857154,1000.0,1000.0,0.0,0.0
315,315,BTCUSDT,5m,93006.69,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,249.00000000000105,1000.0,1000.0,0.0,0.0
316,316,BTCUSDT,5m,92956.22,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.883079486996916,239.1407142857154,1000.0,1000.0,0.0,0.0
317,317,BTCUSDT,5m,93173.55,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.5282693672854198,242.31357142857243,1000.0,1000.0,0.0,0.0
318,318,BTCUSDT,5m,93166.91,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,236.48571428571555,1000.0,1000.0,0.0,0.0
319,319,BTCUSDT,5m,93421.05,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,247.2657142857154,1000.0,1000.0,0.0,0.0
320,320,BTCUSDT,5m,92923.72,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,276.13214285714326,1000.0,1000.0,0.0,0.0
321,321,BTCUSDT,5m,93077.93,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,266.65642857142876,1000.0,1000.0,0.0,0.0
322,322,BTCUSDT,5m,93096.69,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.5345799614189848,238.83142857142957,1000.0,1000.0,0.0,0.0
323,323,BTCUSDT,5m,93092.86,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.9400384716334306,226.40285714285815,1000.0,1000.0,0.0,0.0
324,324,BTCUSDT,5m,93118.75,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,232.2371428571444,1000.0,1000.0,0.0,0.0
325,325,BTCUSDT,5m,93121.27,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,0.6009470269870402,231.7014285714301,1000.0,1000.0,0.0,0.0
326,326,BTCUSDT,5m,92811.19,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,231.44214285714406,1000.0,1000.0,0.0,0.0
