open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1764135000000,87549.47,87679.66,87549.47,87642.42,33.81791,1764135299999,2963057.5023794,9878,16.75742,1468251.1366698,0
1764135300000,87642.42,87705.57,87634.78,87705.56,42.8074,1764135599999,3753291.6528695,6140,23.87575,2093515.1524715,0
1764135600000,87705.56,87741.5,87619.28,87635.58,54.97013,1764135899999,4820388.6271566,7612,14.24735,1249324.2408932,0
1764135900000,87635.59,87635.59,87540.86,87598.73,28.1301,1764136199999,2464004.3690865,6987,6.44891,564820.8712968,0
1764136200000,87598.74,87613.81,87514.72,87608.12,26.80925,1764136499999,2347377.7282868,9141,10.01085,876485.304921,0
1764136500000,87608.12,87647.12,87480.0,87519.53,35.50911,1764136799999,3108860.8589656,10639,18.59852,1627862.2482001,0
1764136800000,87519.54,87586.25,87454.0,87560.12,68.82768,1764137099999,6022129.1337409,15713,15.75436,1378637.6256154,0
1764137100000,87560.12,87700.0,87560.11,87699.99,42.71143,1764137399999,3742686.2158176,11792,20.23985,1773517.9911803,0
1764137400000,87700.0,87706.0,87409.78,87652.63,143.18105,1764137699999,12540034.8711354,9386,25.17742,2205950.142291,0
1764137700000,87652.62,87670.05,87489.35,87524.22,45.341,1764137999999,3970139.4245006,11295,11.82101,1035029.0593841,0
1764138000000,87524.23,87601.47,87489.35,87570.88,32.21902,1764138299999,2820382.0766106,10092,14.67034,1284065.4278224,0
1764138300000,87570.88,87615.99,87534.2,87613.54,18.92694,1764138599999,1657702.729326,6902,9.04212,791900.2072982,0
1764138600000,87613.55,87613.55,87465.0,87478.65,21.76856,1764138899999,1905497.7988501,7720,6.21115,543730.7640022,0
1764138900000,87478.66,87615.98,87478.65,87608.81,21.64006,1764139199999,1894734.5607459,10795,11.84991,1037533.5946149,0
1764139200000,87608.8,87697.43,87582.01,87670.09,60.39425,1764139499999,5293359.246417,9458,44.23394,3876788.337931,0
1764139500000,87670.09,87689.5,87600.0,87679.25,31.34616,1764139799999,2747335.2212835,7338,9.01114,789638.1574099,0
1764139800000,87679.24,87860.96,87654.67,87827.95,49.74343,1764140099999,4367032.6846307,12013,31.08878,2729222.4873015,0
1764140100000,87827.94,87889.0,87794.0,87794.0,31.65595,1764140399999,2781123.8182892,7734,16.28575,1430845.3742876,0
1764140400000,87794.0,87861.7,87757.31,87757.31,36.35767,1764140699999,3192605.8359097,13804,15.28937,1342616.1459134,0
1764140700000,87757.31,87794.5,87698.25,87769.21,24.15953,1764140999999,2119781.9154861,9535,13.77733,1208818.8103841,0
1764141000000,87769.2,87824.0,87735.0,87823.99,33.95622,1764141299999,2980530.3247883,8645,21.00442,1843738.2472841,0
