open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1751454000000,107848.95,107848.96,107338.15,107479.99,514.05194,1751457599999,55337431.614169,57860,164.8534,17745206.58663,0
1751457600000,107479.98,107479.99,107186.1,107379.92,371.85695,1751461199999,39912771.4137535,72797,152.1546,16330706.8896652,0
1751461200000,107379.92,107998.0,107280.0,107768.2,587.51111,1751464799999,63241369.8597686,160849,288.94713,31101042.105844,0
1751464800000,107768.21,108171.8,107659.35,108139.99,937.16142,1751468399999,101147117.3986872,164199,510.81103,55138778.9248096,0
1751468400000,108140.0,108759.2,108120.0,108737.74,1330.61173,1751471999999,144251976.8132022,169949,807.6868,87574811.3678895,0
1751472000000,108737.75,109646.45,108650.97,109413.02,2695.11586,1751475599999,294534085.3572738,337674,1589.66668,173682233.2520984,0
1751475600000,109413.01,109730.0,108834.3,109129.67,1117.75624,1751479199999,122183280.0429184,197130,507.15208,55448656.3647431,0
1751479200000,109129.68,109538.89,108989.9,109538.88,522.88486,1751482799999,57142551.4182433,118599,293.35364,32062232.7557317,0
1751482800000,109538.88,109681.81,109293.9,109676.14,1320.35211,1751486399999,144542115.4475531,144322,1067.59082,116874532.2973391,0
1751486400000,109676.14,109676.14,109128.72,109136.3,575.18566,1751489999999,62881663.417069,89766,201.64699,22045172.335169,0
1751490000000,109136.31,109542.31,109130.01,109441.8,1281.72086,1751493599999,140106189.2299767,86847,826.45062,90320520.7857694,0
1751493600000,109441.79,109498.91,109100.57,109142.0,673.30761,1751497199999,73572943.6863759,72335,150.14418,16402193.2384956,0
1751497200000,109142.0,109170.42,108720.0,108849.6,773.5973,1751500799999,84241334.9724327,73182,276.98625,30161486.8261196,0
1751500800000,108849.59,109115.03,108715.56,108915.0,494.29688,1751504399999,53827623.5973559,97546,290.90845,31678297.3921516,0
1751504400000,108915.0,109111.0,108807.43,108975.97,383.5858,1751507999999,41804726.829101,68695,196.9905,21469405.3377035,0
1751508000000,108975.96,108975.97,108530.4,108721.52,335.42231,1751511599999,36457904.5099677,72007,121.42974,13195975.2174614,0
1751511600000,108721.52,108820.0,108620.25,108628.21,226.69063,1751515199999,24644944.7924527,53026,95.47642,10380385.6359586,0
1751515200000,108628.2,109000.01,108566.14,108790.0,293.13317,1751518799999,31907443.2331702,51019,153.96362,16758889.9030961,0
1751518800000,108790.0,109381.12,108790.0,109340.37,452.51528,1751522399999,49398971.2776009,78709,267.40399,29189747.5035128,0
1751522400000,109340.37,109548.0,109237.85,109478.94,372.89912,1751525999999,40797512.0564931,69305,177.82479,19456303.1817239,0
1751526000000,109478.95,109478.95,109146.2,109280.0,442.04211,1751529599999,48306462.8528319,54432,228.16199,24932455.846181,0
1751529600000,109279.99,109580.0,109279.99,109377.57,557.97387,1751533199999,61078798.2797957,66392,287.5799,31481712.0181994,0
1751533200000,109377.57,110273.21,109377.57,109942.2,1791.81347,1751536799999,197013815.932039,171912,1246.93988,137092057.4683647,0
1751536800000,109942.19,110000.0,109628.08,109839.37,644.21123,1751540399999,70740903.9808857,105759,377.05306,41406458.9117824,0
1751540400000,109839.38,109839.38,109584.61,109599.19,255.55023,1751543999999,28029728.8584926,54713,116.70109,12800173.1871447,0
1751544000000,109599.18,109916.0,108749.99,109167.99,1102.71213,1751547599999,120499117.8719581,221075,542.75902,59318185.8910489,0
1751547600000,109168.0,110529.18,109133.3,110255.63,1445.48707,1751551199999,159002024.4958531,314774,884.94059,97369892.1990487,0
1751551200000,110255.64,110499.6,109560.0,109718.57,999.03383,1751554799999,109961273.8883675,284376,450.8147,49637792.1978,0
1751554800000,109718.57,109833.3,109107.0,109127.84,654.49287,1751558399999,71585141.1963592,203998,274.18786,29992491.028552,0
1751558400000,109127.85,109683.19,109020.8,109288.46,584.75038,1751561999999,63904102.1934589,170730,276.37485,30206349.1118876,0
1751562000000,109288.47,109655.7,109278.41,109556.0,410.71077,1751565599999,44968304.1868955,73803,220.21194,24108734.9552243,0
1751565600000,109556.0,109721.51,109332.1,109678.75,284.97474,1751569199999,31219437.8257304,74588,122.3904,13410046.0987664,0
